Antibiotic,Samples,Resistant_Count,Susceptible_Count,Resistance_Rate,ROC_AUC,Default_Precision,Default_Recall,Default_F1,Best_Threshold,Optimized_Precision,Optimized_Recall,Optimized_F1,Optimized_F2
IPM,9771,5717,4054,58.5,0.6685,0.7016,0.7483,0.7242,0.28,0.6407,0.9257,0.7572,0.8501
AMX/AMP,9773,5712,4061,58.4,0.6653,0.694,0.762,0.7264,0.34,0.6597,0.8889,0.7574,0.8312
CZ,9787,5690,4097,58.1,0.6563,0.6807,0.725,0.7021,0.19,0.6041,0.9842,0.7487,0.8742
CTX/CRO,9774,5748,4026,58.8,0.6549,0.6871,0.7313,0.7085,0.23,0.619,0.9591,0.7524,0.8641
FOX,9784,5735,4049,58.6,0.6456,0.6977,0.7245,0.7109,0.18,0.6101,0.9782,0.7515,0.8729
Co-trimoxazole,9783,1413,8370,14.4,0.6403,0.2056,0.6219,0.309,0.24,0.1707,0.8799,0.2859,0.4805
AMC,9785,5815,3970,59.4,0.639,0.6817,0.7274,0.7038,0.31,0.6471,0.908,0.7556,0.8402
C,9775,1385,8390,14.2,0.631,0.1978,0.639,0.302,0.3,0.1739,0.852,0.2889,0.4787
CIP,9778,1447,8331,14.8,0.6246,0.2046,0.5882,0.3036,0.33,0.1779,0.8512,0.2943,0.4844
colistine,9766,1338,8428,13.7,0.6124,0.184,0.6194,0.2838,0.31,0.1667,0.8507,0.2787,0.4672
Acide nalidixique,9767,1388,8379,14.2,0.5964,0.1832,0.5396,0.2735,0.24,0.1622,0.8525,0.2726,0.4606
Furanes,9783,1326,8457,13.6,0.5942,0.1694,0.5774,0.262,0.25,0.1577,0.8566,0.2664,0.4542
ofx,9787,1381,8406,14.1,0.5902,0.1729,0.4855,0.255,0.28,0.1637,0.8551,0.2747,0.4635
AN,9780,1905,7875,19.5,0.5616,0.2433,0.4304,0.3109,0.22,0.1978,0.9738,0.3288,0.5456
GEN,9790,1936,7854,19.8,0.5583,0.2266,0.3876,0.286,0.19,0.2,0.9767,0.332,0.5497
